,Reviews,Restaurant
372,"['the indian waitress was not interested i asked about burgers she pointed to the menu and walked away ignoring my questions  this is not a place for real burger connoisseur let alone gastronmy experts', ' wasted 40 bucks on taxi fares', ' all the hype and talk about this place is just talk sadly', ' i was looking foward to real burgers']",TFDB
376,"['its a nice and large bar and restaurant under hotel g', ' the ambience is amazing and lots of choices for both drinks and food']",TFDB
377,"['nice burger', ' juicy patty']",TFDB
379,['good burgers'],TFDB
380,"['these are good burgers for this price point in singapore', ' the shakes are also very good']",TFDB
381,"['ordered the no', '2 burger muy chocoliente milkshake and filthy fries', ' burger and milkshake were the winners', ' burger patty was great', ' not too salty or oily', ' milkshake wasnt overly sweet liked the extra kick of spice at the end', ' ']",TFDB
383,"['awesome wings and fries', ' burger was good like the toasted buns']",TFDB
391,['great burger and drinks'],TFDB
397,['the vegetarian burger is very delicious'],TFDB
398,['translated by google medium rare true juicyoriginalmedium rarejuicy'],TFDB
399,"['burgers are the highlight here and deservingly so', ' the buns are soft and the beef is delicious', 'this time i ordered the cinnabun which used a crispy apple cinnamon bun instead ']",TFDB
400,['good burgers and amazing onion rings and good service too '],TFDB
401,"['juicy and delicious burgers and salad', ' staff is friendly and the serving time is good', ' the serving size is generous']",TFDB
404,['nice burgers and atmosphere to chillax'],TFDB
406,"['i wasnt too interested in the burger selection so i went with the plain cheeseburger 8 with 3 fries', ' the burger was good for the price but could be juicier and the cheese sharper', ' the staff were nice but it was hard to get their attention from the corner']",TFDB
410,['translated by google there is a meat burgeroriginal'],TFDB
412,"['delicious', ' full of flavour similar to patty  bun in londonservice was great too']",TFDB
413,"['buy one get one free milk shake', ' worth deal with unique taste']",TFDB
417,"['marvelous toasted buns and juicy patty', ' arent many selections for me thoughand best toasted buns again', ' i have to say it again', ' ']",TFDB
423,"['good value', ' good service', ' yummy buthers']",TFDB
436,"['they have veggie burger in menu but not in real', ' and the way they treat customers is not professional', ' regardless of the they are very expensive they are not good for food']",TFDB
437,['great burgers easy atmosphere has a long extended happy hour with one for ones'],TFDB
438,['good burgers'],TFDB
439,['burger was excellent very juicy but onion ring was very badly done lack of sweetness and breading was flavourless'],TFDB
440,['good service  good food but kinda  pricey'],TFDB
441,"['visiting and honestly my boyfriend just needed an american meal to break up the asian meals overload that we have been experiencing the entire trip', ' for a burger in singapore this place was definitely a pleasant surprise since we did not ']",TFDB
442,['good food'],TFDB
444,['good'],TFDB
445,"['i had burger no', ' 1 with 1 for 1 free side during happy hours', ' patty at the right heat and the cheese was insanely delicious', ' but what made the experience of dining here great was the service staff esp pappa great job']",TFDB
446,['awesome burgers'],TFDB
447,"['excellent blue cheese burgers', ' best in the world tastes  value']",TFDB
449,"['great burger as always', ' they name the burgers burger no 1  4', ' and theres a veggie burger', ' no its not impossible burger i had burger no 1', ' great juicy patty nicely grilled buns with gorgonzola ']",TFDB
450,"['opens 24hrs thats amazingburger was juicy and tender staffs are friendly too', ' love this place and will go again in my next visit to bangkok']",TFDB
451,"['one of the best burger place', ' love their onions rings and milk shake too']",TFDB
452,['lovely cosy spot to hang out with friends'],TFDB
453,"['really nice tasting burger i ordered a number 3', ' juicy and patty was good', ' jalapeo added a nice kick to the taste', ' ']",TFDB
457,['filthy fries were bomb fried chicken burger with bbq miso was on point'],TFDB
458,"['one of the best warm melt chocolate cakes i had', ' great vibe the staff was friendly and responsive', ' looking forward to trying their vegetarian options']",TFDB
459,"['translated by google delicious and voluminousyou can have a hamburger', ' the clerk is also very kindin particular it is twice as much fun when eating at the counter seats facing ']",TFDB
460,['my first singapore sling '],TFDB
462,"['translated by google because the buns are thick they suck the meat juice moderately', ' the price is a little higher but it is a satisfying taste', ' the clerk is also kind', ' you can also order your own preference', ' ']",TFDB
465,['3 is a bit low but the value just isnt there for 4 stars'],TFDB
467,['very nice burgers'],TFDB
468,"['burgers are really good', ' love how soft the buns are', ' just wish they gave more vegetables with the burger', ' ']",TFDB
469,['expensive'],TFDB
470,['delicious  english burger'],TFDB
471,['deluxe burgers at a budget price'],TFDB
472,['petfect place'],TFDB
473,"['5 stars just for the crazy good mac and cheese burger', ' you need to make it a permanent part of the menu yo']",TFDB
474,['fairly quiet if you take the seats inside the restaurant'],TFDB
475,['great food'],TFDB
476,"['looks like a place u would just want to walk in and have a burger and people watch', ' its a small restaurant though', ' fried chicken burger was yummy', ' curly fries were a bit too salty']",TFDB
477,"['i had a craving for burgers the last few days so i decided to find where in singapore are the top burger joints and i ended up in 25 degrees in hotel g', ' the burgers came not as nice looking as all the photos i saw on the internet anyway i ']",TFDB
478,"['was here because google stated it opens until 3am', ' turns out they close at 1am']",TFDB
482,"['awesome burger place', ' tried the number 1 burger and it was the best burger ive had in a while', ' highly recommended']",TFDB
484,['they have very delicious burgers'],TFDB
486,"['underwhelmed', ' price points are deceptively acceptable until you see the cheap ingredients', ' the filter fries is literally topped with cheap and unfavorful factory prefried shallots that one can find atop mee rebus', ' no baconey taste', ' the ']",TFDB
487,"['medium done beef patty was bit dry without the add on', ' medium rare was ok', 'mini hotdog was skinny', 'fries was frozen', ' unexpected from a burger place', 'onion ring was undercook with residual flour taste']",TFDB
489,['absolutely love this place'],TFDB
494,"['love the hollywood inspired interior of high ceiling and red leather', ' expect good hearty flavours for their signature burgers and for a limited time only the cheesy mac attack is the burger to go for if you love mac  cheese', ' utterly cheesy and true to taste', ' so yummy wash it all down with craft beers or milkshakes']",TFDB
495,"['good burger at great price', ' wine is cheap for the area and taste good']",TFDB
497,"['average burgers', ' wouldnt go out of my way to eat their burgers', ' not a ton of seating']",TFDB
498,"['went there for supper with my teenage boys', ' the burgers were very juicy at medium rare', ' the milkshake was average']",TFDB
502,['awesome burger their beef burgers are a bombsmilkshake are average for their unique flavors would have preferred their classic milkshake instead'],TFDB
504,['excellent foodsuperior tastegood pricestry the mac one'],TFDB
509,"['translated by google unfortunately no tasty cheese on the burgers', ' froet is very good warm and a lot ']",TFDB
510,"['view is good and the beer is chilled and right', 'curly fry is abundant and well temperatured', 'and the burger ', ' every mouth is mouthful and juicy what would i want more ']",TFDB
512,['great food and service'],TFDB
514,"['nice veggie burgers on the house', '  home made onion rings that were really nice', ' quesadillas were nice as well', '  wheelchair friendly', ' service was good', '  small place  but cosy', ' easy parking on prinsep street a short walk away', ' good for a sunday evening out with family', ' ']",TFDB
517,"['what a gem of a place', ' where on earth can you find a bottle of wine at this price in a restaurant one of the cheapest place for wine with one for one during happy hour for their finger food', ' this place is apparently famous for their ']",TFDB
521,['the tuna burger i had was still quite ok but the number 1 beef burger was too musky for our tastes'],TFDB
522,"['on the weekends they do breakfast which is pretty reasonably priced  scramble with a choice of toast or fruit and a coffee is 12 sgd', ' the scramble offers lots of different combinations and you can also create your own', ' they also do ']",TFDB
523,"['this is our favourite local kopitam coffee place in the morning', ' local set breakfast comes with 2 soft boil eggs toast with kaya coconut jam  black coffee at s2', '50', ' or 3 eggs and a side at s7', '  nice sitting facing the front catching the morning passersby ']",TFDB
524,['sublime burgers and amazing milkshakes'],TFDB
526,"['translated by google good food but not cheap service ok but very slow a lot', ' they do not workfood to the whole table at once and that is a big mistake when some eat the ']",TFDB
527,['i expected something more'],TFDB
531,"['very tasty burger you can choose how much cooked you want it the place looks european', ' next door same business nice place to drink and end up your day', ' price was good']",TFDB
532,"['located in a prime location below hotel g the burger i tried was number one and i upsized it to include fries', ' the burger was so delicious hot on the plate with medium well done meat in butter the bun was so soft and absorbed the ']",TFDB
534,"['service was attentive and the food were good but the burger 1 was a tad too salty for my liking', ' i also suggest that the team uses a longer straw for the milkshake as its too short to drink from a tall glass']",TFDB
537,['translated by google the frankness of the restaurant they eat is ok and cleanoriginal '],TFDB
538,"['quite warm in restaurant', ' limited seats too']",TFDB
540,"['this restaurant is famous for hamburger but i took a coffee break here', ' latte was good', ' service was nice', ' it was not busy in the afternoon and its good place for reading books']",TFDB
541,['good late night venue for burger staples'],TFDB
543,['amazing flavor wasnt expect such good taste on these 2 dishesi would pay 8 for each of its original pricebut its 2 dish for 8 dollars at work days'],TFDB
545,['great place to have a strong cup of coffee'],TFDB
546,['nice burgers'],TFDB
547,"['one of the best burger joints in singapore not many places ask for the doneness of your beef', 'i always bring guest djs here and it never disappoints']",TFDB
549,['love their beyond meat burger'],TFDB
550,['16 for a standard beer expensive even by aussie standards where the price is usually 810 '],TFDB
551,['the burger is not bad'],TFDB
553,['best for burgers'],TFDB
554,"['visited on friday afternoon', ' ordered the number one burger set meal at 12 and upsized to a larger patty for 3 asked for no cheese', ' had a pint of german beer started with k  cant recall the long name', ' the burger was cooked to medium ']",TFDB
555,"['not good food', ' hamburger pasty was very spongie', ' i felt bad the day after']",TFDB
556,"['burger is not really good', ' the bun is loaf kind of bread', ' bacon is not crunchy']",TFDB
562,['everything about this place is just amazing located right next to the hotel g you can stay at hotel g and go to 25 degrees burger for an awesome breakfast brunch lunch dinner or latenight drink at all times of the day the '],TFDB
563,"['another day another opportunity to check out the restaurant scene in singapore took the blue downtown line mrt to rocher station and walked about 5 minutes to get here', ' easy enough', ' ']",TFDB
564,"['would not recommend', ' food was not good', ' better options in the area  definitely way better burgers in sg']",TFDB
567,['this gourmet burger restaurant is en point and i am super glad and excited that there is such a quality burger place in town '],TFDB
568,['translated by google was deliciousoriginal'],TFDB
570,"['theres cheap breakfast there', ' local coffee plus kaya toast for 2', '50']",TFDB
572,['great'],TFDB
574,['cool ambiance with great burgers'],TFDB
575,"['the burger is nice and cost 14 dollars', ' can choose how the meat to be done', ' and the smoothie is huge jug lol']",TFDB
577,"['place has four reasonably priced burgers aptly and simply called number one number two and so on as well as a make your own burgerburger option', ' meat was well cooked and tasty', ' pro tip the number one has two ']",TFDB
578,"['went here on easter sunday', 'waited awhile as it was busy and hot', 'we asked for a number 6 burger and a tonic water', 'it cost 27', '10 ']",TFDB
582,"['best burger i had in singapore so juicy and tender', ' recommended to go for medium rare for that extra juice  all burgers are named number 1 number 2 and so forth', ' i had their no 2', ' cant wait till next time to try out the other burger numbers']",TFDB
583,['love the burger here and as the mince is prepared on site you can ask for the party to be cooked rare'],TFDB
584,"['love the burgers here', ' its one of the better places for burgers and its not just for the beef burgers', ' the fish one is good as well', ' would definitely come back again']",TFDB
586,"['goodquality burgers super chill ambience', ' its crowded on sundays but you should be able to get a table if youre in a pair or small grp', ' would visit again']",TFDB
588,['pricey but quality food'],TFDB
590,['breakfast is great here and cheap'],TFDB
591,['good food at affordable price'],TFDB
594,['good location and good staff'],TFDB
595,['burger was pretty good and value for money for its 12 price on weekdays'],TFDB
596,"['the restaurant is located at hotel g 200 middle road in buggis', ' a 10min walk from the buggis mrt station', 'my experience the place was crowded but with decent crowd provides ']",TFDB
597,"['we ordered 2 burgers', ' their number six was ok', ' but their number 4 was teriible', ' the patty was dry and tasteless']",TFDB
600,['ok'],TFDB
604,['the milkshakes are a musttry'],TFDB
610,"['great burgers sides milkshakes not forgetting craft beers', ' i dont even had space for dessert which ill try next time']",TFDB
611,"['this place offers a great burger and street seating to  people watch', ' not cheap and prices are tax excl', ' mind you']",TFDB
612,"['burgers were super yummy and service was excellent', ' would definitely go back again for their burgers']",TFDB
613,['the food look alright but the taste is so so also they asked me for the burger how fried it has to be but it was not done the way i requested  why ask'],TFDB
615,"['good place burgers were ok', ' can get hot no fans if you sit at the table bar and it does get busy', ' good bar next door too']",TFDB
616,['well grilled burger'],TFDB
618,"['translated by google burger is also delicious', 'all you can drink coffee when you order breakfastkaya toast is good', ' ']",TFDB
620,['excellent burgers and milk shakes'],TFDB
622,['awesome burgers'],TFDB
623,"['couldnt believe that when i asked for a 12 strengthweak latte they couldnt do it', ' ']",TFDB
624,"['set lunch was affordable and great', ' must visit']",TFDB
626,"['great place for burgers and fries', 'deserts are in good portion sizes as well']",TFDB
627,"['great burger and shakes and possibly the best value for money breakfast in singapore only 2', '50 with free flow of coffee']",TFDB
628,"['translated by google a friendly bar with a large bar where half of the guests are outside warm and friendly the cocktails are very good', ' ']",TFDB
629,"['the raving reviews certainly do justicei went there for my teenage sons birthday', ' i chose it among others that i ']",TFDB
634,"['nicely located on the street side you feel sitting outside while remaining outside', 'nice choice of burgers and nice choice of beers']",TFDB
635,"['3', '25 stars  proclaimed to be one of the best burgers in singapore i must disagree', ' though if what you are looking for is unique burgers that blend ingredients you never thought you would hear in the same sentence together then this is ']",TFDB
637,"['their lunch set was good with a reasonable price', ' and the service was great very attentive']",TFDB
639,"['the worst hamburger ever', ' i added avocado and i received an oldbrown little piece']",TFDB
641,"['the burger is good', 'but the frise', 'is too oily']",TFDB
642,"['good service n delicious food', ' but both mu hubby n i had loose stool the next day']",TFDB
645,['like the chicken wings very crispy'],TFDB
647,"['delicious pastrami burger and authentic hot dog', ' friendly service and amazing promotions its worth checking out ']",TFDB
648,['nice food and service'],TFDB
649,['delicious food at high quality and good pricegreat view where you can see the streetplaying british rock which i love '],TFDB
650,['average burger house'],TFDB
651,"['their onion rings are unique and lovely however i personally found their hamburgers not that great', ' my budget can only cater for special occasions with the prices they are asking']",TFDB
657,"['very nice patty succulent and juicy', ' i had mine at medium', ' sadly the bun is a bit soggy']",TFDB
658,['burgers were great and another must eat is their onion rings'],TFDB
661,['average at best'],TFDB
662,['good burgers'],TFDB
663,['nice place to have a burger ask the wine menu from ginett'],TFDB
664,"['the good a pleasant place  they like to show fox sports channel for which i add 1 star', ' customer service was fine', ' i also liked some fresh lettucetomatoonion put next to the burger', ' ']",TFDB
666,"['service was great perhaps i had huge expectations of this place because i have heard people raving abt it', ' i would say the patties were decent and food was heartwarming', ' good chillout place']",TFDB
672,['good service good selection of beers and food to go with it'],TFDB
673,"['gourmet burgers at a price', ' expect to spend about sgd30']",TFDB
675,"['i read a few reviews that said the hamburgers were bland but i thought i would try it out myself', ' yes the hamburger meat was very bland', ' fries were ok but the onion rings were not good', ' staff was great good customer service not so good food']",TFDB
676,"['one of the few places i know to get really good malt milkshakes in singapore', ' burgers and sides are great too and customizable burgers means everyone can find something to enjoy']",TFDB
677,['nice burger'],TFDB
678,['awesome fries good burgers'],TFDB
679,['translated by google very nice open late and very kind and friendly waitersoriginal '],TFDB
681,"['just had a really unpleasant experience about the service', ' this place  have happy hour till 7pm on sunday', ' most places will ask for last order before they end happy hour', ' but the waitress here was happily chatting away', ' when we get her attention it is 7', '02pm and she told us that happy hour had end', ' really lousy experience']",TFDB
683,['the burger is small and cola is 5'],TFDB
684,['nice food the filipino staffs were great'],TFDB
686,"['visited with my colleague their burger and fries doesnt taste any special or good about it', ' havent tried their wine so i wont comment about it', ' 3 stars given as i received good customer service and the place is nice and clean also the ']",TFDB
688,"['good quality food and great service', ' the milkshake i ordered was a little bland but this is more or less my only criticism of this place', ' nice ambience reasonably priced and fantastic location good for a quick bite or a longer meal', ' my ']",TFDB
690,"['food is delicious but not for people who cant sit outside', ' its too hot']",TFDB
694,['tasty burgers and good choice of discounts for students at lunch time'],TFDB
695,"['unflavourful burgers poorly seasoned patties weird bread texture', ' poor tasting and extremely oily food']",TFDB
697,"['translated by google only burgers', ' there is no normal food at all', 'original ']",TFDB
699,"['passable', ' almost']",TFDB
703,"['the burgers are reasonable price', 'but drinks are pricey']",TFDB
704,['go for the number one burger and malt milkshakes these burgers are good best eaten freshly made and not take away'],TFDB
708,['burgers were nice and at adorable prices but nothing special'],TFDB
709,"['never had a problem here', ' friendly and good burgers', ' always busy']",TFDB
710,"['number one burger was so yummy', ' i honestly wasnt expecting the food here to be so good but was pleasantly surprised', ' prices are also great and theres daily happy hour menu which includes drinks and a variety of sides such as hotdogs and truffle fries under 10']",TFDB
711,"['the burgers are really nice', ' be sure to get the fries plus the blue cheese dip  its to die for', ' housepour wines are a very good deal too']",TFDB
712,['loving the burgers and the wallet friendly prices'],TFDB
714,"['waiter and waitress charged us more for a swap of sides from french fries to curly fries in spite of the price of both being the same on their menu', ' a little goodwill would have gone a long way instead of trying to scam squeeze your customers']",TFDB
715,"['food is great especially for its price', ' could get a little noisy as its located at a busy junction and its kinda open air', ' would definitely come back here for tthe burgers one is simply spoilt for choice']",TFDB
719,"['burgers tasted just okok but has no wow factor to come back again', ' the buns are cake like texture maybe thats not my preference for burgers', ' still it is still a decent average burger', ' truffle fries were average at best', ' the seating at the entrance is awkward as we need to sit so close opposite other customers and not very chillax']",TFDB
720,"['good dining experience', ' decent place to chill and gather with friends']",TFDB
721,"['very average burgers', ' fries were soggy', ' onion rings were bad', ' curly fries were not bad', ' milkshakes were good']",TFDB
722,['excellent place'],TFDB
726,['nice environment'],TFDB
727,"['translated by google good burgers', ' facesoriginalbuenas hamburguesas', ' caras']",TFDB
728,['nice ambience but food was disappointing'],TFDB
729,['veg burger not good'],TFDB
731,"['i would suggest this place for a drink but not for food', ' the meat in my hamburger was rather tasteless and seemed frozen as water was coming from it', ' fries were nice though']",TFDB
736,['nice place for people watching  happy hour prices make drinks reasonable'],TFDB
737,"['its a very nice place great service and nice atmosphere overlooking the street it would have been perfect and 5 stars if their burger was good', ' ']",TFDB
739,"['tried burger number 2 if im not wrong', ' loved it to bits']",TFDB
742,"['a bit pricey but the lunch set is good 14 after tax', ' tried burger no', ' 1 too little cheese but otherwise hits the spot']",TFDB
743,['translated by google nice burger amazing burgerfrench fries are also very delicious please dont compare with fast food brand what is juicy and delicious please try it '],TFDB
744,['great place great food'],TFDB
745,['nice place with great burger they actually ask how you want your beef to be done  fresh'],TFDB
748,['nice food and place to watch the world walk by'],TFDB
749,['great burgers onion rings and curly fries'],TFDB
753,"['good burgers and sides quick service', ' seating arrangement is a little weird', ' good for people watching but seats facing inwards can be rather awkward', ' groups bigger than 6 might have problem getting seated during busy hours']",TFDB
754,"['small space', ' staff was obviously irritated and annoyed due to the crowd']",TFDB
756,"['great burgers around 14 each and very affordable booze a bottle of housepour is about 30', ' i visited for world cup viewing and it can get a little warm as the restaurant is open air', ' order your beef patties medium or medium rare please', ' the burger bunbread was soft', ' 1 burger is also large enough to share']",TFDB
759,"['no taste at all tried the chicken burger kfc burger is lot better', ' so oily and tasteless its horrible']",TFDB
760,"['make sure you get here for the happy hour special', ' enjoy the drink and then 7pm order the best burger in town', ' its no', '1 on the menu', ' good service', ' good vibe', ' excellent burger']",TFDB
762,['decent burgers at affordable price'],TFDB
763,['enjoy'],TFDB
764,"['great burgers', ' good vibes']",TFDB
765,['burger patties not juicy enough'],TFDB
769,"['good burgers but nothing wow', ' however chilled atmosphere and nice place to hang out especially if you are staying at hotel g']",TFDB
771,"['food service was a little slow was with a group and we ordered burgers 1 2 and 3 with a side of truffle fries and a chocolate milkshake', ' burgers were greasy and relatively flavorless', ' tiny leaf of lettucetomato and pickle on the side', ' ']",TFDB
775,['rude staff and not good for families'],TFDB
776,"['not bad burger', ' fries a bit oily']",TFDB
778,['burgers r huge n juicy difficult to eat even when u use a fork and knife u cld hv add ons like sweet onionsmushroomsbaconall kinds of sauces but be prepared to pay 2 for each my turkey burger came up to abt s23 w add ons jalapeno n '],TFDB
783,['good burger but fries cost extra'],TFDB
788,['the burger was not too bad'],TFDB
790,['gd'],TFDB
791,['great authentic spanish food'],TFDB
794,"['best burgers ive had period', ' everything is fresh including the briochetype bun the burgers are served on', ' ive had the regular burger tuna burger and the new lamb burger and cant pick a favorite', ' the espresso here is straight out of italy']",TFDB
795,['nice layout and delicious burgers'],TFDB
796,"['translated by google i cant say their burgers are a bit oily very good ', 'original ']",TFDB
799,['great juicy burgers'],TFDB
802,"['burger was completely raw inside', ' i couldnt eat it like this so left it and just ate the fries', ' expensive too even for singapore']",TFDB
803,"['great place to unwind', ' after a hectic dayweek']",TFDB
804,"['upmarket burgers that are really good without you feeling that you regret', ' good ambience nice place to bring your loved one for a casual yet classy bite']",TFDB
806,"['translated by google delicious burger with crispy curly fries and onion rings', ' the lamb burger was great and the buns brioche are also great', ' ']",TFDB
808,"['burgers are good  try the 1', ' lunch specials burgers  fries available on weekdays from 11am to 3pm represents good value at 12', ' beers are unfortunately a tad pricey']",TFDB
813,"['when youre unsure of what to eat for dinner burgers are always a safe bet', ' 25 deg is a lively place with a casual nofuss atmosphere', ' good music playing in the background', ' service is prompt and pleasant', ' menu is easy to navigate', ' this is ']",TFDB
814,"['i really hoped this place would be better than it is located on a busy corner with an apparently interesting array of burgers on the menu plus an option to doityourself and build your own burger', ' the reality however is relatively dry and flavourless burgers albeit with pretty good curly fries and onion rings']",TFDB
815,['good food'],TFDB
818,"['the damage no drinks s3050 for twochic and vibrant burger joint housed in g hotel', ' service is decent and vibe is ']",TFDB
819,['great plc for nice designer burger1for1 beer side like french fries btw 3pm to 7pm'],TFDB
820,"['solid burger i like the ambience they have', ' theyve got nice lunch deals for their sides and drinks']",TFDB
822,"['so so burger and drinks', ' not worth the hype']",TFDB
824,"['big disappointment', ' pattie is dry not juicy and tastes bland', ' itll be great if meal comes with fries', ' fries separate buy']",TFDB
826,['great burgers at inexpensive prices though the place is abit warm'],TFDB
829,['good food a bit small and tight but burgers and shakes were fantastic'],TFDB
831,"['burger where', ' ahh i found it so small', ' cute but not enough']",TFDB
832,"['lets you make your own burgers', ' has vegetarian choices', ' the server was a bit rude but taste was good so we ignored that bit']",TFDB
833,"['translated by google very bad restaurant', ' the meat was undercooked in the two burgers', ' impossible to finish our plate', ' too salty fries', ' the drinks tasted like water', ' a bad supper that cost us dearly', ' try something else', ' ']",TFDB
834,['nice'],TFDB
836,"['spent around 20 per pax for 3', 'oneforone deals before 7pm make the sides really worth getting special ']",TFDB
838,['for a place that specializes in burgers i was a little disappointed by the quality of food here'],TFDB
839,"['they switched to smaller meat bigger bun format out of coke out of tuna weak fries', '  sgd 14', '  not a destination place']",TFDB
841,['so so'],TFDB
842,"['excellent food', ' i appreciated the burger and fries', ' brewed coffee is also good']",TFDB
843,['very ni'],TFDB
844,"['the bread is made of stone', ' tastes just like it']",TFDB
845,['very good burger cooked fresh so be prepared to wait'],TFDB
846,"['nice place good burguers and a reasonable price', ' beers are not expensive as other places', ' great service']",TFDB
847,['decent burgers and curly fries come before 7pm for happy hour'],TFDB
848,['toast is nice'],TFDB
850,['best onion rings'],TFDB
853,['tasty burger with sparkling wine awesome meal'],TFDB
854,['top burgers open late night'],TFDB
855,['pretty darn decent burgers and affordable drinks even better during happy hour'],TFDB
857,"['very juicy burger', ' best in singapore']",TFDB
862,['translated by google just decent burger and beer  38original '],TFDB
868,"['go for  no', '1 with curly fries and dont forget their milk shakes']",TFDB
870,"['best truffle fries in sg', ' try it to believe it']",TFDB
872,[' yummy burger and onion ringsbut take so long time  '],TFDB
876,"['good food a bit overpriced in my opinion', ' their shakes are great though and you can add malt']",TFDB
878,['the burger is nice just the place is an opening area inside a busy city so sometimes its a bit hot and noisy'],TFDB
880,"['main thing here are the burgers', ' limited choices but you customize with charges your own burger']",TFDB
883,['good menu but limited'],TFDB
886,['ok burger'],TFDB
887,"['meat is a bit dry', ' 3 burger is ok while bacon in 1 is not that crispy', ' milkshakes tastes great', ' go for the curly fries instead of the onion rings']",TFDB
888,"['slightly overdone burger', ' everything else was pretty good']",TFDB
889,"['not good burgers', 'way over priced']",TFDB
891,"['for a place that specializes in burgers i was a little disappointed by the quality of food here', '  i also felt that the buns were too thick and dry', ' we ordered the chopped salad and it wasnt great', ' the vegetables they use in their dishes ']",TFDB
897,['decent taste big portions but not cheap'],TFDB
898,['the food and drinks are amazing'],TFDB
899,['nice burger and sandwiches'],TFDB
900,"['whoever wrote that this joint has some of the most tasty burgers in singapore has not been to wolf burgers or hubers', ' wont be back']",TFDB
901,"['service is bad', ' took so long to get our bill and took too long to process payment', ' food was just average', ' the no', ' 4 tuna burger patty was too dry', ' not a favourite']",TFDB
902,['juicy beef but the bun is disappointing'],TFDB
903,"['a satisfying meal', ' if you are unsure what to eat try the taster platter']",TFDB
905,"['average burger', ' but lunch set price is reasonable']",TFDB
908,['i liked their meat and the place not big but serve the purpose also their service was good compared to busy lunch time '],TFDB
910,['exceptional'],TFDB
911,['awesome place excellent burgers just melt in mouth and flavourful'],TFDB
912,"['good burgers', 'service is slowsmall dinning area']",TFDB
914,['good burgers'],TFDB
915,['good burgers'],TFDB
917,['nice burger for affordable price in nice atmosphere'],TFDB
918,"['translated by google modern place and good place to have a drink', ' there are hamburgers salads cocktails ', ' it also has wifi', ' ']",TFDB
919,['bad hamburgers and bad service'],TFDB
920,['not good every thing was super salty also when you have an open kitchen maybe it would be good if the cooks didnt eat and lick their fingers with without washing their hands will not be coming back to this place'],TFDB
922,['cant get doneness of beef right'],TFDB
925,['love the burgers  one of the best ive tried in singapore'],TFDB
926,"['food selection isnt that comprehensive compared to other burger chains and didnt really like the size of their burgers', ' had to resort to using fork and spoon to deconstruct and eat the burger', ' the bread also breaks easily', '  non alcoholic drinks also terribly overpriced']",TFDB
928,"['very average', ' would have expected more for that price']",TFDB
929,"['its a bit over rated', ' seatings abit limited', ' the seats i was at was squeezy', ' burger buns was huge more bun than meat', ' beef was alright overpowered by the taste of the cheeses', ' i got one from the prepared burgers', ' the pickle was better i think', ' saving grace for this is the milkshake and the curly fries']",TFDB
0,"['i almost cried', ' after circling the industrial area on foot without any sign of the place  i made one final desperate call before hoisting up the white flag', ' if no one picks up then its hasta la vista babeh', ' sayonara', ' ']",TR
1,['hi raelynnso glad you finally got help to find the kitchen and you were able to order pick up so pleased you loved our foodthank you for the lovely reviewyou rockbest wishesadam penney'],TR
2,"['amazing burgers one of the best ive ever had in singapore', ' the buns are so soft and fragrant the beef patties so juicy and the sauces add the right variation of flavours', ' even though we only set off from our place when the order was ']",TR
3,['dear fenellathank you for the love and yes i agree burgers are always best eaten in hands cutlery should only be use in emergencies much like yours thank you for the supportbest wishesadam penney'],TR
4,"['ordered their we be balling burger and was not disappointed', 'their beef patty is thick and juicy and cooked to perfection', ' the combination ']",TR
5,['dear josiahthank you so much for the love'],TR
6,['stellar burgers  milkshakes'],TR
7,['dear nabihahthank you for the love'],TR
8,"['excellent food the hennie fried chicken thigh burger and hot diggity dawg chicken cheese hotdog were tasty', ' plain fries were a little soggy on delivery', ' worth the stomach space and will try again']",TR
9,['hi varianthank you for the love'],TR
10,"['tastiest burger i have had', ' yummy moist n simply delicious']",TR
11,['hi shindysorry it took so long to reply thank you so much for the love'],TR
12,"['ordered via grab food 4 times already and they have nvr once disappointed me', ' tried their we and ballin truff it up plug three monie love  make some shroom', ' personally really enjoyed and prefer we be ballin  make some shroom', ' ']",TR
13,['hi jinthank you for the love'],TR
14,"['the burger is good', ' patty is good', ' milkshake thick n nice', ' their dipping sauce is unique', ' recommend the fuh fries too']",TR
15,['thank you for the love'],TR
16,"['i am totally not kidding when i say that this might be one of the best burgers i had in singapore', ' ordered we be ballin and i found the combination of sauces beef and portobello mushroom to be 1010 the juicy portobello made sure that the beef wasnt dry and the sauces were just on point highly recommended']",TR
17,['hi jeffthank you for the love and the support so glad you enjoyed your burger'],TR
18,"['had little bad experience with the food but i d say the management has done a great sales recovery', '  shows it is serious about their food and customer feedback', '  ']",TR
19,"['dear gestrowhich picture in particular are you referring to please email me adampotatohead', 'coi assure you there was no trickery in the shots just the ingredients we use in the burgers', ' we are a bit more expensive compared to other burger shops because we only ever use best quality ingredients our meats are quality grass fed from argentina and new zealand only using prime cuts all the sauces and condiments are made from scratch in house', ' we are not a fast food burger joint so if you want to compare us to something like mcdonalds its not even in the same class mcdonalds makes cheap food we make quality fresh burgers with natural ingredients a fast food burger will be cheaper to produce than our beef patty alone', 'i am happy to discuss this furtherbest wishesadam penney']",TR
20,"['ordered via grabfood', ' delivery was smooth food received in good condition', 'taste wise was excellent', ' only suggestion is it be better to be able to specify ']",TR
21,['dear saddadthank you for the support glad you enjoyed your burger you can request doness in the comments if you would like to order again'],TR
22,"['burgers and milkshakes', ' for the days when you feel like you need to reward yourself a little']",TR
23,['dear harrythank you for the love'],TR
