,Unnamed: 0,Review,Date,Stars,Restaurant,feature_descriptors
225,225,"Great burgers, not very cozy restaurant. Aside from burgers the rest of the menu isn't impressive. Ginette, the neighboring restaurant is a lot better!",a year ago, 4 stars ,TFDB,"{'burgers': [], 'restaurant': [], 'rest': [], 'menu': ['impressive'], 'neighboring': [], 'lot': ['better']}"
226,226,One of the best burger in town. Recommended.,a year ago, 5 stars ,TFDB,"{'burger': [], 'town': ['Recommended']}"
227,227,Simply decorated Bistro / American steak house feel to this very small joint tucked away in a corner. Menu selection had been thankfully kept simple and limited due to obvious reasons. Food really wasn't bad. Nothing which you can fault. Nothing spectacular unfortunately.,a year ago, 3 stars ,TFDB,"{'steak': [], 'house': ['feel', 'very', 'small'], 'joint': ['tucked'], 'corner': [], 'Menu': [], 'selection': ['thankfully', 'kept', 'simple', 'limited', 'obvious'], 'reasons': [], 'Food': ['really', 'bad', 'fault', 'spectacular', 'unfortunately']}"
228,228,Great burgers.,a year ago, 5 stars ,TFDB,{'burgers': []}
230,230,Clean ambience. Burgers not spectacular but decent for the price. Drinks expensive.,a year ago, 4 stars ,TFDB,"{'ambience': [], 'Burgers': ['spectacular', 'decent'], 'price': [], 'Drinks': ['expensive']}"
231,231,"All American ambience... the patty is really good(medium-well done), served with soft pen seared buns. The milk shake is good but a lil pricy   compared to shake shack. Burgers are @ $14++, do take note - creating your own will be pricier...",a year ago, 4 stars ,TFDB,"{'ambience': [], 'patty': ['really', 'done', 'served', 'soft'], 'pen': ['seared'], 'buns': [], 'milk': [], 'shake': ['good'], 'lil': [], 'pricy': ['compared', 'shake'], 'shack': [], 'Burgers': ['take'], 'note': ['creating', 'own', 'be', 'pricier']}"
234,234,"$14 for each set of burger, tasty, juicy, crispy bacon, melted cheese. Made myself another customize burger with double turkey party, portobello mushroom and buratta cheese 😋. Perfectly fried truffle fries. Cozy place, vary cocktail menu and drinks, Worth the try",a year ago, 5 stars ,TFDB,"{'set': [], 'burger': ['double'], 'crispy': [], 'bacon': ['melted'], 'cheese': [], 'customize': [], 'turkey': [], 'party': [], 'mushroom': ['buratta'], '😋': ['Perfectly', 'fried', 'truffle'], 'fries': ['Cozy'], 'place': ['vary'], 'cocktail': [], 'menu': [], 'drinks': [], 'try': []}"
235,235,Great burger...cool place,a year ago, 5 stars ,TFDB,"{'burger': ['cool'], 'place': []}"
237,237,"very very filling!  :) burger,  fries and onion rings were great. the bun was delicious. went there for a late lunch and stumbled upon happy hour.  so we had 1-for-1 fries and 1-for-1 beer!  butbparking at Hotel G can he tricky because youll enter on the right lane...",a year ago, 4 stars ,TFDB,"{'filling': [], ':)': [], 'burger': [], 'fries': [], 'onion': [], 'rings': ['great'], 'bun': ['delicious', 'went', 'there', 'late'], 'lunch': ['stumbled', 'happy'], 'hour': ['so', 'had'], 'beer': ['butbparking', 'tricky', 'enter', 'right'], 'lane': []}"
238,238,"Awesome burgers, value for money. Good mix of different fat content in beef burgers, not just the standard grind. Nicely grilled patties too.",a year ago, 5 stars ,TFDB,"{'burgers': ['just', 'standard'], 'value': [], 'money': ['Good'], 'mix': ['different', 'fat'], 'content': [], 'beef': [], 'grind': ['Nicely', 'grilled'], 'patties': ['too']}"
239,239,love that place!!!!,a year ago, 5 stars ,TFDB,{'place': []}
240,240,"(Translated by Google) Medium food

(Original)
食物中等",a year ago, 3 stars ,TFDB,"{'food': [], '食物中等': []}"
241,241,"One of the best burgers ever in Singapore, and underrated. Always satisfies my cravings for meaty hearty meal even though I’m not a burger person. …",a year ago, 5 stars ,TFDB,"{'burgers': ['ever', 'underrated', 'Always', 'satisfies'], 'cravings': [], 'meaty': ['hearty'], 'meal': ['even', '’m'], 'burger': [], 'person': []}"
243,243,Walk ins only,a year ago, 5 stars ,TFDB,{'ins': ['only']}
245,245,"Staff were really friendly and the burgers were fantastic, really tasty and opens up your appetite. The best thing is that they even separate your vegetables for you so you can choose whether to have them or not.",a year ago, 5 stars ,TFDB,"{'Staff': ['really', 'friendly'], 'burgers': ['were', 'fantastic', 'really', 'tasty', 'opens'], 'appetite': ['best'], 'thing': ['even', 'separate'], 'vegetables': ['choose', 'have']}"
247,247,Good stuff,a year ago, 4 stars ,TFDB,{'stuff': []}
249,249,"Forget 5 Guys, this is much batter, and cheaper.",a year ago, 4 stars ,TFDB,"{'Guys': ['much'], 'batter': ['cheaper']}"
250,250,"Excellent service from the staff; gorgeous and tasty milkshakes.  Their beef burgers, are the main attractions.",a year ago, 5 stars ,TFDB,"{'service': [], 'staff': ['gorgeous', 'tasty'], 'milkshakes': [], 'beef': [], 'burgers': ['main'], 'attractions': []}"
252,252,"Burgers were alright, service was good, decor is nice.",a year ago, 3 stars ,TFDB,"{'Burgers': ['alright'], 'service': ['good'], 'decor': ['nice']}"
253,253,Loved everything about the burger except for the bun. Found it too soft and fluffy for my preference.,a year ago, 4 stars ,TFDB,"{'burger': [], 'bun': ['Found', 'too', 'soft', 'fluffy'], 'preference': []}"
254,254,"(Translated by Google) You can enjoy a juicy hamburger full of gravy. Bate will listen to the baking. If beer is a little more reasonable, I'll give you five stars. …",a year ago, 4 stars ,TFDB,"{'hamburger': ['full'], 'gravy': ['listen'], 'baking': [], 'beer': ['is', 'little', 'more', 'reasonable', 'give'], 'stars': []}"
255,255,Went in on a slow Saturday afternoon at 3pm. Was shown to a table without given any instructions that the menu was found on a QR code at the table. I waited 5 minutes for a menu which didn't come before I approached one of the waiters to be …,a year ago, 1 star ,TFDB,"{'afternoon': [], 'pm': ['shown'], 'table': ['waited'], 'instructions': [], 'menu': ['come', 'approached'], 'code': [], 'minutes': [], 'waiters': ['be']}"
256,256,"I discovered this place when I Googled for best burgers while around Bras Basah Complex . Lucky enough that it's just a short walk.  It has good reviews and decided to try for myself.  I ordered their burger named, ""Number One"", filthy …",a year ago, 5 stars ,TFDB,"{'place': ['when', 'Googled', 'best'], 'burgers': ['Lucky', 'enough', 'just', 'short'], 'walk': ['has', 'good'], 'reviews': ['decided', 'try', 'ordered'], 'burger': ['named'], 'Number': ['filthy']}"
257,257,"I am disappointed with its strawberry milkshake. Thin, diluted, mainly ice bits, no hint of milk or ice cream or strawberry pieces/ bits. Burger was tasty if compared to B, C or M, but not exactly worth an hour of waiting for a table, esp …",a year ago, 3 stars ,TFDB,"{'strawberry': [], 'milkshake': ['Thin', 'diluted', 'mainly'], 'ice': [], 'bits': ['tasty', 'compared', 'exactly', 'worth'], 'hint': [], 'milk': [], 'cream': ['strawberry'], 'hour': ['waiting'], 'table': ['esp']}"
259,259,"Given its location near Bugis, this place is easily accessible. The decoy definitely has a Californian vibe to it. Really enjoy the experience of dining here. The burger is well put together and tastes rich yet balanced. The milkshake I …",a year ago, 5 stars ,TFDB,"{'location': [], 'place': ['easily', 'accessible'], 'decoy': ['definitely', 'has', 'Californian'], 'vibe': ['Really', 'enjoy'], 'experience': [], 'dining': ['here'], 'burger': ['well', 'put', 'together', 'tastes', 'rich', 'yet', 'balanced', 'milkshake'], 'I': []}"
261,261,Good burgers and beer,a year ago, 4 stars ,TFDB,"{'burgers': [], 'beer': []}"
263,263,Number One was mighty tasty!!,a year ago, 4 stars ,TFDB,"{'Number': ['mighty', 'tasty']}"
264,264,The food tasted very good. I would recommend the new pepper jack burger. Worth the trip there even though it's out of the pay. The smoothies there are slightly above average nothing out of the ordinary but it was done really well. …,a year ago, 4 stars ,TFDB,"{'food': ['tasted', 'very', 'good', 'recommend', 'new'], 'pepper': [], 'jack': [], 'burger': ['Worth'], 'trip': ['there', 'even', ""'s""], 'pay': [], 'smoothies': ['are', 'slightly', 'average', 'ordinary', 'done', 'really', 'well']}"
265,265,"Enjoyed the food, this place is awesome for burger lovers like me! They have vegan burger which I highly recommend!",a year ago, 5 stars ,TFDB,"{'food': [], 'place': ['awesome'], 'burger': ['highly', 'recommend'], 'lovers': ['have'], 'vegan': []}"
266,266,"Nice vibe. A bit expensive, but kinda look the place.",a year ago, 5 stars ,TFDB,"{'vibe': [], 'bit': ['expensive', 'kinda', 'look'], 'place': []}"
268,268,"Extremely juicy, ordered from food panda.",a year ago, 5 stars ,TFDB,"{'food': [], 'panda': []}"
270,270,"Possibly the best burger place in Singapore. Unpretentious and delicious!!! I ordered the no1 burger (not a ranking) while my wife had hers ""craft your own"".....both were good...bun was soft and the beef patty juicy and flavourful. My go to …",a year ago, 5 stars ,TFDB,"{'burger': [], 'place': ['Unpretentious', 'delicious', 'ordered'], 'ranking': [], 'wife': ['had', 'craft', 'good'], 'bun': ['was', 'soft'], 'beef': ['patty'], 'juicy': ['flavourful', 'go']}"
271,271,The burgers were awesome. Too bad we couldn't try it fresh. We'll be back for more!,a year ago, 5 stars ,TFDB,"{'burgers': ['awesome', 'Too', 'bad', 'try', 'fresh', 'be', 'back', 'more']}"
274,274,Fuss free takeaway order. Called an hour ahead and food was ready for pick up when I arrived. Excellent burgers and fries and thanks for the bottle of wine.,a year ago, 5 stars ,TFDB,"{'order': ['Called'], 'hour': ['ahead'], 'food': ['was', 'ready', 'pick', 'when', 'arrived', 'Excellent'], 'burgers': [], 'fries': [], 'thanks': [], 'bottle': [], 'wine': []}"
275,275,"Burger is tasty, but is very small and toppings are almost not existent. Sides are also very small - according to the staff this was because 2 burgers + 1 side deal comes with the small sized burgers (?). This is not mentioned on the …",a year ago, 1 star ,TFDB,"{'toppings': ['are', 'almost', 'existent'], 'Sides': ['also', 'very', 'small', 'according'], 'staff': ['was'], 'burgers': ['mentioned'], 'side': [], 'deal': ['comes', 'small', 'sized']}"
276,276,"Very small burger !!
Almost a baby burger !! …",a year ago, 1 star ,TFDB,"{'burger': [], 'baby': []}"
277,277,"Burger is not bad, but omg they are so tiny :(",a year ago, 3 stars ,TFDB,"{'omg': ['are', 'so', 'tiny']}"
278,278,We just ordered the chicken burger and the chicken strip was tiny not even covering half of the bun. Very disappointing,a year ago, 1 star ,TFDB,"{'chicken': [], 'burger': [], 'strip': ['tiny', 'even', 'covering'], 'half': [], 'bun': ['Very', 'disappointing']}"
279,279,Tried the number 3 but was disappointed with the patty. Wasn't particularly juicy and lacked any real taste.,a year ago, 2 stars ,TFDB,"{'number': ['disappointed'], 'patty': ['particularly', 'juicy', 'lacked', 'real'], 'taste': []}"
280,280,"(Translated by Google) Delicious and cheap

(Original)
美味い、安い",a year ago, 5 stars ,TFDB,{}
282,282,Great Beef Burgers and Truffle Fries!,a year ago, 3 stars ,TFDB,{}
283,283,"Fantastic burgers, milkshakes and sides. Price and ambience are also superb!",a year ago, 5 stars ,TFDB,"{'burgers': [], 'milkshakes': [], 'sides': [], 'Price': [], 'ambience': ['also', 'superb']}"
284,284,"Nice, chill ambience. Pretty good food.

We ordered the Filthy Fries ($8, for sharing). Tasted ok but the cheese felt …",a year ago, 4 stars ,TFDB,"{'ambience': ['Pretty', 'good'], 'food': ['ordered'], 'sharing': ['Tasted'], 'cheese': ['felt']}"
286,286,The service and burger was so good and worth the price! Don't get me started on their milkshakes,a year ago, 5 stars ,TFDB,"{'service': [], 'burger': ['so', 'good', 'worth'], 'price': ['get', 'started'], 'milkshakes': []}"
288,288,Not a great burger.  Very oily and the beef is not a good quality.  Didn't taste like any hamburger I've had in LA. Location is nice.,a year ago, 2 stars ,TFDB,"{'burger': ['Very', 'oily'], 'beef': ['good'], 'quality': ['taste'], 'hamburger': ['had'], 'Location': ['nice']}"
290,290,Great burgers!,a year ago, 5 stars ,TFDB,{'burgers': []}
291,291,"There are many restaurants which are open until late night but their kitchen usually close much earlier, but this hamburger shop is different. You can enjoy real good quality of hamburger here even at midnight. It is not so big shop but …",a year ago, 5 stars ,TFDB,"{'restaurants': ['are', 'open', 'late'], 'night': [], 'kitchen': ['usually', 'close', 'much', 'earlier'], 'hamburger': ['here', 'even'], 'shop': [], 'quality': [], 'midnight': ['so', 'big']}"
293,293,"Went for the Monday meatless promotion Vegan Burger.
Not the kind of vegan patty that I like.
Service was good thou. …",a year ago, 3 stars ,TFDB,"{'meatless': [], 'promotion': [], 'kind': [], 'vegan': ['patty', 'like', 'good'], 'thou': []}"
295,295,"The whole atmosphere is ok, sitting half inside, hald outside. Burger was bland and dry, nothing special at all. Fries were ok, good selection of beers.",a year ago, 3 stars ,TFDB,"{'atmosphere': ['ok', 'sitting', 'half', 'inside', 'hald', 'outside', 'bland', 'dry', 'special', 'at', 'all'], 'Fries': ['ok', 'good'], 'selection': [], 'beers': []}"
296,296,"Outdoor is kinda hot but good to chill with friends and talk.  Burger is not the best I had had, just ok. Customer service good.",a year ago, 4 stars ,TFDB,"{'friends': [], 'talk': ['best', 'had', 'just', 'ok'], 'Customer': [], 'service': [], 'good': []}"
299,299,Perfect as always! Highly recommend local breakfast set (until 11 o'clock),a year ago, 5 stars ,TFDB,"{'breakfast': [], 'set': [], ""o'clock"": []}"
300,300,"wanted to have burgers, heard that this place does good burgers. indeed, burgers were good....definitely must try.",a year ago, 4 stars ,TFDB,"{'burgers': ['good', 'definitely', 'try'], 'place': ['does', 'good']}"
302,302,Great food and nice ambiance!,a year ago, 5 stars ,TFDB,"{'food': ['nice'], 'ambiance': []}"
303,303,"Super friendly service, and the number 1 burger tasted great, I admit it was a great city escape from Vietnam, which might have coloured my appreciation, but nice to see the world pass by, with good food and good company",a year ago, 5 stars ,TFDB,"{'service': [], 'number': [], 'burger': ['tasted', 'great', 'admit', 'great'], 'city': [], 'escape': ['coloured'], 'appreciation': ['nice', 'see'], 'world': ['pass', 'by', 'good'], 'food': ['good'], 'company': []}"
305,305,Great burger,a year ago, 5 stars ,TFDB,{'burger': []}
306,306,"Service excellent, atmosphere perfect for watching  pedestrians walk the street.  Happy to go back!",a year ago, 5 stars ,TFDB,"{'Service': [], 'excellent': [], 'atmosphere': ['perfect', 'watching'], 'pedestrians': ['walk'], 'street': ['Happy', 'go', 'back']}"
308,308,Best burger in town,a year ago, 5 stars ,TFDB,"{'burger': [], 'town': []}"
309,309,The burger is excellent,a year ago, 5 stars ,TFDB,{'burger': ['excellent']}
310,310,"(Translated by Google) Very friendly service, the burger and the side dishes were great 🍔😍 …",a year ago, 5 stars ,TFDB,"{'service': [], 'burger': [], 'side': [], 'dishes': ['great'], '🍔': [], '😍': []}"
311,311,"To be one of best burger in Singapore, this is utterly disappointing. Not that it's bad, but doesn't have the American Feel. …",a year ago, 2 stars ,TFDB,"{'burger': ['utterly', 'disappointing', 'bad', 'have']}"
312,312,Burgers,a year ago, 5 stars ,TFDB,{'Burgers': []}
313,313,"It was my first and will be my last in visiting this restaurant.
It was a total disappointment with both the attitude of the staff and the quality of the food. …",a year ago, 1 star ,TFDB,"{'restaurant': ['total'], 'disappointment': [], 'attitude': [], 'staff': [], 'quality': [], 'food': []}"
314,314,"(Translated by Google) I ate hamburgers a lot in Japan, but this may be the best ever. Gorgonzola hamburgers are the best. …",a year ago, 5 stars ,TFDB,"{'hamburgers': ['best'], 'lot': ['be', 'best', 'ever']}"
315,315,Overhyped. So so burgers,a year ago, 2 stars ,TFDB,{'burgers': []}
316,316,Food and the ambiance was amazing. Especially the burger. Very juicy and perfectly cooked.,a year ago, 5 stars ,TFDB,"{'Food': [], 'ambiance': ['amazing', 'Especially'], 'burger': ['Very', 'juicy', 'perfectly', 'cooked']}"
320,320,Very slow service when busy. Minimum wait times for food 45mins to an hour,a year ago, 1 star ,TFDB,"{'service': ['when', 'busy', 'Minimum'], 'wait': [], 'times': [], 'food': [], 'hour': []}"
321,321,Awesome burgers and they do gluten free buns which are rare in this city!,a year ago, 5 stars ,TFDB,"{'burgers': ['gluten', 'free'], 'buns': ['are', 'rare'], 'city': []}"
322,322,"(Translated by Google) We had dinner because it was raining. A great experience, great burgers and very nice staff. If I stayed here in Singapore I would go back. …",a year ago, 5 stars ,TFDB,"{'dinner': ['raining', 'great'], 'experience': ['great'], 'burgers': ['very', 'nice'], 'staff': ['stayed', 'here', 'go', 'back']}"
323,323,Medium rare burger at it's best,a year ago, 4 stars ,TFDB,{'burger': ['best']}
326,326,(Translated by Google) Super fresh and delicious burgers. The side dishes also great. Service friendly and attentive. Modern and individual furnishings. …,a year ago, 5 stars ,TFDB,"{'Super': ['fresh', 'delicious'], 'burgers': [], 'side': [], 'dishes': ['also', 'great'], 'Service': ['friendly', 'attentive', 'Modern', 'individual'], 'furnishings': []}"
330,330,"(Translated by Google) The site and the food are very good, but it is expensive. Correct staff …",a year ago, 4 stars ,TFDB,"{'site': [], 'food': ['very', 'good', 'is', 'expensive', 'Correct'], 'staff': []}"
331,331,Nice food,a year ago, 4 stars ,TFDB,{'food': []}
332,332,"(Translated by Google) If you go burger, just go ^^
3-7 o'clock is a happy hour so French fries are free.
The basics are fulfilling ~ Burger No. 1 ~ 3 Enough (meat grilling is well done) …",a year ago, 4 stars ,TFDB,"{'burger': ['just', 'go'], ""o'clock"": ['happy'], 'hour': ['French'], 'fries': ['are', 'free'], 'basics': ['fulfilling'], '.': [], 'meat': [], 'grilling': ['well', 'done']}"
337,337,"The burger I had, Number Two, was big.
First time eating here...I normally eat at Ginet
Burger was big to me but delicious",a year ago, 5 stars ,TFDB,"{'burger': ['had', 'big', 'First'], 'time': ['eating', 'here', 'normally', 'eat', 'big', 'delicious']}"
338,338,"(Translated by Google) The burger is really delicious

(Original) …",a year ago, 5 stars ,TFDB,"{'burger': ['really', 'delicious']}"
339,339,"(Translated by Google) The burgers here are really delicious!

(Original) …",a year ago, 5 stars ,TFDB,"{'burgers': ['here', 'really', 'delicious']}"
340,340,"We've done in the original on Hollywood Boulevard zoo we had to give this one a try. Service was friendly and personable though with only one chef cooking, the foods arrival was a little slow. You must try the Number 1 burger. Just as amazing as the one in L.A. highly recommended.",a year ago, 5 stars ,TFDB,"{'original': [], 'zoo': ['had', 'give'], 'one': [], 'try': [], 'Service': ['friendly', 'personable', 'only'], 'chef': [], 'cooking': [], 'foods': [], 'arrival': ['little', 'slow', 'try'], 'burger': ['Just', 'as', 'amazing', 'highly', 'recommended']}"
342,342,The best Tuna Burger I have ever had. Love the place.,a year ago, 5 stars ,TFDB,{'place': []}
343,343,"Great Burgers, affordable price. Friendly staff. Highly recommended",a year ago, 5 stars ,TFDB,"{'price': ['Friendly'], 'staff': ['Highly', 'recommended']}"
346,346,Average burger. Buns were terrible..,a year ago, 3 stars ,TFDB,"{'burger': [], 'Buns': ['terrible']}"
347,347,I enjoyed our visit to this outlet for lunch. The waiter made a point of getting to know my youngest child and ensured we were satisfied  and our specific order was met. …,a year ago, 5 stars ,TFDB,"{'visit': [], 'outlet': [], 'lunch': [], 'waiter': ['made'], 'point': ['getting', 'know', 'youngest'], 'child': ['ensured', 'satisfied', 'specific'], 'order': ['met']}"
349,349,Enjoyed the beef burger. Patty very tasty.,a year ago, 5 stars ,TFDB,"{'beef': [], 'burger': ['Patty', 'very', 'tasty']}"
352,352,Amazing veggie burger and quesadillas that vegetarians must try!,a year ago, 5 stars ,TFDB,"{'veggie': [], 'burger': [], 'quesadillas': [], 'vegetarians': ['try']}"
353,353,"Great service, nice relaxed atmosphere, food tasted great, drinks were a little expensive.",a year ago, 4 stars ,TFDB,"{'service': ['nice', 'relaxed'], 'atmosphere': [], 'food': ['tasted', 'great'], 'drinks': ['little', 'expensive']}"
355,355,Worst burger smells horrible dripping with oil anf very little fries. Cost $13 for tiny cheesecake. I want my money back disgraceful.,a year ago, 1 star ,TFDB,"{'burger': ['smells', 'horrible'], 'dripping': [], 'oil': [], 'anf': ['very', 'little'], 'fries': ['Cost', 'tiny'], 'cheesecake': ['want'], 'money': ['back', 'disgraceful']}"
357,357,"Affordable and pretty tasty burgers, especially if you can get in during their set menus hours, or one-for-one sides/milkshakes deals!",a year ago, 4 stars ,TFDB,"{'burgers': ['especially', 'get', 'set', 'menus'], 'hours': [], 'sides': [], 'milkshakes': [], 'deals': []}"
359,359,Affordable burgers that are juicy and delivered with quality service. Milkshakes are not as thick as I’d like them and the fries are slightly underwhelming but I’d definitely come back for the burgers,a year ago, 5 stars ,TFDB,"{'burgers': [], 'quality': [], 'service': [], 'Milkshakes': ['as', 'thick', '’d', 'like'], 'fries': ['are', 'slightly', 'underwhelming', '’d', 'definitely', 'come', 'back']}"
360,360,"Nice burger, good vibes and nice beer.",a year ago, 5 stars ,TFDB,"{'burger': ['good'], 'vibes': ['nice'], 'beer': []}"
362,362,"Casual burger restaurant,  great to people watch. Staff needs more training. At least to inform guest that the Happy Hour is almost over, I sat for a good 15 mins, while waiting for my friend to arrive, and at 7pm, found out that the happy …",a year ago, 4 stars ,TFDB,"{'burger': [], 'restaurant': ['great'], 'people': ['watch'], 'Staff': ['needs', 'more'], 'training': ['least', 'inform'], 'guest': ['almost', 'over', 'sat', 'good'], 'mins': ['waiting'], 'friend': ['arrive'], 'pm': ['found', 'happy']}"
363,363,"My first visit here, I've been to the outlet @ Pullman G Bangkok Thailand.The number one burger is amazing!Creamy crescenza cheese, succulent beef patty, crispy strips of bacon in a tasty bun.A dinner set of a la carte burger n fries is $18 ++.The fries were normal though,but it's a satisfying meal for the price.",a year ago, 4 stars ,TFDB,"{'visit': ['here', 'been'], 'outlet': [], 'number': [], 'burger': [], 'cheese': [], 'succulent': [], 'beef': [], 'patty': [], 'crispy': [], 'strips': [], 'bacon': ['tasty'], 'bun': [], 'dinner': [], 'set': [], 'carte': [], 'fries': ['were', 'normal', 'though', ""'s"", 'satisfying'], 'meal': [], 'price': []}"
366,366,"Great burgers at extremely reasonable price. Awesome Monday happy hour promotion for 1 for 1 beer on tap and sides too! Please try their new lobster bun, you wouldn’t be disappointed 😋 …",a year ago, 5 stars ,TFDB,"{'burgers': ['extremely', 'reasonable'], 'price': ['happy'], 'hour': [], 'promotion': [], 'beer': [], 'tap': [], 'sides': ['too', 'try', 'new'], 'lobster': [], 'bun': ['disappointed'], '😋': []}"
368,368,Not too many seats but a really nice place with good burgers.,a year ago, 5 stars ,TFDB,"{'seats': ['really', 'nice'], 'place': ['good'], 'burgers': []}"
371,371,"The $8 lunchtime special cheeseburger was good, a manageable size that I could actually finish and was not overly greasy or heavy. The french fries however were very dry and crispy and not pleasant. I had seen some people with thick hand …",a year ago, 3 stars ,TFDB,"{'lunchtime': ['special'], 'cheeseburger': ['good', 'manageable'], 'size': ['actually', 'finish', 'was', 'overly'], 'greasy': ['heavy', 'french'], 'fries': ['however', 'very', 'dry', 'crispy', 'pleasant', 'seen'], 'people': ['thick'], 'hand': []}"
372,372,"The indian waitress was not interested, i asked about burgers she pointed to the menu and walked away ignoring my questions , this is not a place for real Burger connoisseur let alone gastronmy experts. Wasted 40 bucks on taxi fares. All the hype and talk about this place is just talk sadly. I was looking foward to real burgers.",a year ago, 1 star ,TFDB,"{'waitress': ['interested', 'asked'], 'burgers': [], 'menu': ['walked', 'away', 'ignoring'], 'questions': [], 'place': ['just'], 'connoisseur': ['let', 'alone', 'gastronmy'], 'experts': ['Wasted'], 'bucks': [], 'taxi': [], 'fares': [], 'hype': ['talk'], 'talk': ['sadly', 'looking', 'foward', 'real']}"
376,376,Its a nice and large Bar and Restaurant under Hotel G. The ambience is amazing and lots of choices for both drinks and food.,a year ago, 4 stars ,TFDB,"{'ambience': ['amazing'], 'lots': [], 'choices': [], 'drinks': [], 'food': []}"
377,377,Nice burger. Juicy patty.,a year ago, 5 stars ,TFDB,"{'burger': [], 'patty': []}"
379,379,Good burgers,a year ago, 4 stars ,TFDB,{'burgers': []}
380,380,These are good burgers for this price point in Singapore. The shakes are also very good.,a year ago, 5 stars ,TFDB,"{'burgers': [], 'price': [], 'point': [], 'shakes': ['also', 'very', 'good']}"
381,381,"Ordered the No.2 burger, Muy Chocoliente milkshake and Filthy Fries. Burger and milkshake were the winners. Burger patty was great. Not too salty or oily. Milkshake wasn't overly sweet, liked the extra kick of spice at the end. …",a year ago, 3 stars ,TFDB,"{'No.2': [], 'burger': ['milkshake'], 'milkshake': [], 'winners': [], 'patty': ['great', 'too', 'salty', 'oily', 'overly', 'sweet', 'liked', 'extra'], 'kick': [], 'spice': [], 'end': []}"
383,383,"Awesome wings and fries. Burger was good, like the toasted buns.",a year ago, 5 stars ,TFDB,"{'wings': [], 'fries': ['good', 'toasted'], 'buns': []}"
391,391,Great burger and drinks,a year ago, 5 stars ,TFDB,"{'burger': [], 'drinks': []}"
397,397,The vegetarian burger is very delicious.,a year ago, 5 stars ,TFDB,"{'burger': ['very', 'delicious']}"
398,398,"(Translated by Google) Medium rare true juicy!

(Original)
medium rare真juicy!",a year ago, 4 stars ,TFDB,"{'juicy': ['Original'], 'medium': [], 'rare真juicy': []}"
399,399,"Burgers are the highlight here, and deservingly so. The buns are soft and the beef is delicious.
This time I ordered the Cinnabun, which used a crispy apple cinnamon bun instead …",a year ago, 5 stars ,TFDB,"{'Burgers': [], 'highlight': ['here', 'deservingly', 'so'], 'buns': ['soft'], 'beef': ['is', 'delicious'], 'time': ['ordered', 'used'], 'crispy': [], 'apple': [], 'cinnamon': ['bun', 'instead']}"
400,400,Good burgers and amazing onion rings! And good service too :),a year ago, 5 stars ,TFDB,"{'burgers': ['amazing'], 'onion': [], 'rings': ['good'], 'service': ['too']}"
401,401,Juicy and delicious burgers and salad. Staff is friendly and the serving time is good. The serving size is generous,a year ago, 5 stars ,TFDB,"{'Juicy': ['delicious'], 'burgers': [], 'salad': [], 'Staff': ['friendly', 'serving'], 'time': ['is', 'good', 'serving'], 'size': ['generous']}"
404,404,Nice burgers and atmosphere to chillax.,a year ago, 4 stars ,TFDB,"{'burgers': [], 'atmosphere': ['chillax']}"
406,406,"I wasn't too interested in the burger selection so I went with the plain cheeseburger ($8 with $3 fries). The burger was good for the price but could be juicier and the cheese sharper. The staff were nice, but it was hard to get their attention from the corner.",a year ago, 4 stars ,TFDB,"{'burger': ['good'], 'selection': ['so', 'went', 'plain'], 'cheeseburger': [], 'fries': [], 'price': ['be', 'juicier'], 'cheese': ['sharper'], 'staff': ['nice', 'was', 'hard', 'get'], 'attention': [], 'corner': []}"
410,410,"(Translated by Google) There is a meat burger

(Original)
肉肉しいハンバーガーが食べごたえ有り",a year ago, 4 stars ,TFDB,"{'meat': [], 'burger': ['Original'], '肉肉しいハンバーガーが食べごたえ有り': []}"
412,412,"Delicious. Full of flavour! Similar to Patty & Bun in London

Service was great too",a year ago, 5 stars ,TFDB,"{'Delicious': ['Full'], 'flavour': ['Similar', 'great', 'too']}"
413,413,Buy one get one free milk shake. Worth deal with unique taste,a year ago, 3 stars ,TFDB,"{'milk': [], 'shake': ['deal', 'unique'], 'taste': []}"
417,417,"Marvelous toasted buns, and juicy patty. Arent many selections for me though

and best toasted buns again. i have to say it again. …",a year ago, 4 stars ,TFDB,"{'buns': ['again', 'have', 'say', 'again'], 'patty': ['many'], 'selections': ['best', 'toasted']}"
423,423,Good value. Good service. Yummy buthers,a year ago, 5 stars ,TFDB,"{'value': ['Good'], 'service': ['Yummy'], 'buthers': []}"
436,436,They have veggie burger in Menu but not in real. And the way they treat customers is not professional. Regardless of the they are very expensive they are not good for food.,2 years ago, 1 star ,TFDB,"{'veggie': [], 'burger': ['real'], 'way': ['treat'], 'customers': ['professional', 'Regardless', 'very', 'expensive', 'good'], 'food': []}"
437,437,"Great burgers, easy atmosphere, has a long extended happy hour with one for ones.",2 years ago, 5 stars ,TFDB,"{'burgers': ['easy'], 'atmosphere': ['has', 'long', 'extended', 'happy'], 'hour': [], 'ones': []}"
438,438,Good burgers,2 years ago, 5 stars ,TFDB,{'burgers': []}
439,439,"Burger was excellent, very juicy but Onion ring was very badly done, lack of sweetness and breading was flavourless",2 years ago, 3 stars ,TFDB,"{'ring': ['very', 'badly', 'done'], 'lack': [], 'sweetness': [], 'breading': ['was'], 'flavourless': []}"
440,440,"Good Service,  Good Food but kinda  pricey.",2 years ago, 5 stars ,TFDB,{}
